_id,data.created_at,data.favorite_count,data.favorited,data.id,data.is_quote_status,data.lang,data.possibly_sensitive,data.retweet_count,data.retweeted,data.source,data.text,data.truncated,data.user.id,data.user.name,data.user.screen_name,data.user.location
638625d1073ea59a7af54da7,Tue Nov 29 15:31:21 +0000 2022,0,false,1.59761E+18,false,en,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I take 0 action without strategy,false,2904332428,Massoud,mxssoud,"Ottawa, Ontario"
638625d2073ea59a7af54da8,Tue Nov 29 15:31:20 +0000 2022,0,false,1.59761E+18,false,en,,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@GuidoDisalle gm Guido!,false,1.36971E+18,aaronrferguson.eth (he/him) 🇺🇦 | Слава Україні!,aaronrferguson,"Ottawa, ON Canada"
638625d2073ea59a7af54da9,Tue Nov 29 15:31:18 +0000 2022,0,false,1.59761E+18,false,en,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@SleuthieGoosie Absolutely agree with you. Not normal.,false,299329872,Middy T,middyt,"Ottawa, Ontario, Canada"
638625d2073ea59a7af54daa,Tue Nov 29 15:31:16 +0000 2022,0,false,1.59761E+18,false,en,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ThisIsKyleR @elonmusk Yes, life must be soooooo hard for you. Being able to murder whoever you want isn’t enough,… https://t.co/Mzp3Li38s0",true,27987194,GeeGee23,GeeGee23,Ottawa
638625d2073ea59a7af54dab,Tue Nov 29 15:31:13 +0000 2022,0,false,1.59761E+18,false,en,false,0,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@funstonpaleo So looking forward to seeing the results that come out of this!! https://t.co/o9Esvh5PXw,false,7.25085E+17,Michelle Campbell Mekarski PhD,MichelleCbell,"Ottawa, Ontario"
638625d2073ea59a7af54dac,Tue Nov 29 15:31:07 +0000 2022,0,false,1.59761E+18,false,tl,,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@HugoFaz gm Hugo!,false,1.36971E+18,aaronrferguson.eth (he/him) 🇺🇦 | Слава Україні!,aaronrferguson,"Ottawa, ON Canada"
638625d2073ea59a7af54dad,Tue Nov 29 15:31:06 +0000 2022,0,false,1.59761E+18,false,fr,false,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","💥Donner en GRAND à votre communauté aujourd'hui💥
Nous lançons 🛶Bateaux pour Tous🛶 - une campagne pour s'assurer que… https://t.co/gkZVQKP99X",true,143151472,Canoe Kayak Canada,CanoeKayakCAN,"Ottawa, ON"
638625d2073ea59a7af54dae,Tue Nov 29 15:31:05 +0000 2022,0,false,1.59761E+18,false,en,false,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","💥Give back to your community in a BIG way today!💥

We’re launching 🛶Boats for All🛶 – a campaign to ensure our races… https://t.co/Sdr7UnX1fC",true,143151472,Canoe Kayak Canada,CanoeKayakCAN,"Ottawa, ON"
638625d2073ea59a7af54daf,Tue Nov 29 15:31:04 +0000 2022,0,false,1.59761E+18,false,en,false,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",y’all wouldn’t get it https://t.co/9rzxQRwdO6,false,1.22341E+18,stunna 🇨🇷,LeGreenCard,"Ottawa, Ontario"
638625d2073ea59a7af54db0,Tue Nov 29 15:31:03 +0000 2022,0,false,1.59761E+18,false,en,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@WashedSummon OH MY GOODNESS WHAT A BUILD IM ABOUT TO BE FRICKING T’D,false,1.17656E+18,ᴴʸᵖᵉʳ Xmanbill,Xmanbill,"Ottawa, Ontario"
